STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
"Andaman And Nicobar","North and Middle Andaman",PMGSY-I,32,0,32,0,0,0,60.169,24.6908,59.19,19.6281,0
"Andaman And Nicobar","North and Middle Andaman",PMGSY-II,24,0,0,0,24,0,54.67,27.7646,7.4,0,47.27
"Andhra Pradesh","Alluri Sitharama Raju",PMGSY-I,472,17,467,14,5,3,1952.378,775.6992,1809.482,702.0291,24.34
"Andhra Pradesh",Anakapalli,PMGSY-II,5,0,5,0,0,0,34.62,21.309,31.291,16.1277,0
"Andhra Pradesh",Anantapur,PMGSY-III,16,5,14,0,2,5,145.623,109.8399,122.207,68.9612,18.7
"Andhra Pradesh",Annamayya,PMGSY-III,55,1,28,0,27,1,412.738,234.54631,204.515,105.5521,202.358
"Andhra Pradesh",Bapatla,PMGSY-III,12,3,5,0,7,3,82.069,87.31,53.766,23.756,27.622
"Andhra Pradesh",Chittoor,PMGSY-I,148,3,148,3,0,0,482.261,101.8512,471.991,100.7436,0
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-II,6,0,6,0,0,0,47.223,24.736,45.354,20.979,0
"Andhra Pradesh",Eluru,PM-JANMAN,7,0,0,0,7,0,34.868,26.36,0,0,34.868
"Andhra Pradesh",Kurnool,PMGSY-I,138,24,138,24,0,0,454.725,137.4856,419.89,132.1242,0
"Andhra Pradesh",Nandyal,PMGSY-I,115,12,115,12,0,0,385.365,92.5398,365.51,48.7807,0
"Andhra Pradesh",Nandyal,PMGSY-II,5,0,5,0,0,0,54.93,32.6416,53.622,28.8901,0
"Andhra Pradesh",Nandyal,PM-JANMAN,1,0,0,0,1,0,7.11,4.4,0,0,7.11
"Andhra Pradesh","Parvathipuram Manyam",RCPLWEA,55,10,43,8,12,2,385.484,353.27394,305.191,283.3172,73.584
"Andhra Pradesh",Prakasam,PMGSY-II,9,0,9,0,0,0,61.404,30.9533,59.156,27.2731,0
"Andhra Pradesh",Srikakulam,PMGSY-I,211,7,211,7,0,0,561.36,123.0353,560.68,120.4759,0
"Andhra Pradesh",Srikakulam,PMGSY-II,8,0,8,0,0,0,63.04,32.9494,60.214,23.9706,0
"Andhra Pradesh",Tirupati,PMGSY-III,20,7,18,0,2,7,139.514,124.52347,133.386,44.4256,2
"Andhra Pradesh",Vizianagaram,PMGSY-II,11,0,11,0,0,0,80.5,40.985,79.69,34.0148,0
"Arunachal Pradesh",Changlang,PMGSY-I,100,28,99,28,1,0,949.981,534.7094,937.846,523.7373,10.52
"Arunachal Pradesh","East Kameng",PMGSY-III,8,0,2,0,6,0,51.9,44.84425,29.72,23.985,21.4
"Arunachal Pradesh",Kamale,PMGSY-II,3,0,3,0,0,0,29.5,28.0793,29,28.2116,0
"Arunachal Pradesh","Kra Daadi",PMGSY-I,49,18,42,12,7,6,1141.642,926.1711,1018.13,897.1921,119.262
"Arunachal Pradesh","Kra Daadi",PMGSY-II,2,0,2,0,0,0,11,10.6034,11,11.3703,0
"Arunachal Pradesh",Namsai,PMGSY-I,39,1,39,1,0,0,209.16,97.9754,209.16,95.7677,0
"Arunachal Pradesh","Papum Pare",PMGSY-III,12,12,0,0,12,12,109.62,158.12207,16.45,32.2711,93.17
"Arunachal Pradesh","Shi Yomi",PMGSY-II,1,0,1,0,0,0,7.18,3.7164,5.295,3.0357,0
"Arunachal Pradesh","Shi Yomi",PMGSY-III,1,1,0,0,1,1,7.87,16.3362,0,0,7.87
"Arunachal Pradesh",Tawang,PMGSY-I,59,5,59,5,0,0,608.374,454.0604,602.472,487.5618,0
"Arunachal Pradesh",Tawang,PMGSY-III,6,0,0,0,6,0,37.62,37.9503,0,5.8637,37.62
"Arunachal Pradesh","Upper Siang",PMGSY-III,4,0,0,0,4,0,27.1,23.69925,3.5,2.8912,23.6
Assam,Baksa,PMGSY-I,300,57,297,55,3,2,1007.206,667.20473,1002.424,698.4717,2.77
Assam,Darrang,PMGSY-III,18,4,14,2,4,2,127.182,103.81488,102.6,80.2647,22.237
Assam,Dhemaji,PMGSY-II,5,6,5,6,0,0,41.775,38.6316,41.775,36.6596,0
Assam,Golaghat,PMGSY-I,304,5,304,5,0,0,1204.084,611.48229,1203.511,624.9292,0
Assam,Hailakandi,PMGSY-I,111,7,111,7,0,0,387.395,272.3226,380.831,301.7354,0
Assam,Hailakandi,PMGSY-III,19,0,13,0,6,0,131.043,75.45408,88.038,47.4679,42.901
Assam,Kokrajhar,PMGSY-I,220,33,220,33,0,0,735.645,586.70618,734.945,589.574,0
